material_type,category,price,unit,region,source,price_date,change_rate,change_amount,volume,high_price,low_price
铁矿石,raw_material,890,元/吨,青岛港,Mysteel,2025-10-22,2.3,20,50000,905,878
螺纹钢,product,4250,元/吨,上海,钢联,2025-10-22,-1.5,-65,30000,4280,4220
焦炭,raw_material,2180,元/吨,唐山,煤炭资源网,2025-10-22,0.8,17,20000,2195,2165
废钢,raw_material,2650,元/吨,江苏,废钢网,2025-10-22,3.2,82,15000,2680,2620
热轧卷板,product,4180,元/吨,上海,钢联,2025-10-22,-0.5,-21,25000,4200,4160
冷轧卷板,product,4580,元/吨,上海,钢联,2025-10-22,1.2,54,18000,4600,4560
中厚板,product,4320,元/吨,唐山,钢联,2025-10-22,0.3,13,22000,4340,4300
铁矿石,raw_material,885,元/吨,青岛港,Mysteel,2025-10-21,1.8,16,48000,898,872
螺纹钢,product,4315,元/吨,上海,钢联,2025-10-21,-0.8,-35,32000,4350,4280
焦炭,raw_material,2163,元/吨,唐山,煤炭资源网,2025-10-21,-0.5,-11,19000,2180,2150

