temperature,pressure,vibration,humidity,equipment_type,location,faulty
66.48,50.23,0.9298,52.6586,Pump,New York,0
75.79,42.67,0.8592,60.4256,Pump,San Francisco,0
43.87,49.5,1.9082,34.7612,Turbine,Atlanta,0
62.49,47.54,0.8189,59.8698,Compressor,New York,0
64.75,59.13,0.4866,61.1942,Turbine,San Francisco,0
72.79,33.48,2.9042,48.7312,Compressor,Houston,0
47.35,45.92,1.8335,66.9364,Pump,Atlanta,0
67.19,63.23,1.1927,29.1671,Compressor,Houston,0
65.96,56.29,1.2376,34.5213,Compressor,Houston,0
71.24,41.33,3.8182,40.9328,Turbine,Atlanta,1
62.12,40.97,0.7311,53.8801,Pump,Atlanta,0
68.35,37.97,0.6887,54.242,Pump,Houston,0
79.95,55.07,4.6978,35.7961,Compressor,San Francisco,0
65.81,60.42,3.2711,55.19,Pump,Chicago,1
76.23,43.24,1.0879,63.9663,Pump,Houston,0
70.18,61.57,4.7701,42.9031,Compressor,Atlanta,1
62.42,56.91,0.9205,34.8093,Compressor,New York,0
61.04,45.66,2.3623,43.3394,Compressor,San Francisco,0
64.85,49.59,2.6543,34.454,Compressor,Atlanta,0
79.36,53.45,2.976,52.5862,Pump,Atlanta,1
45.01,54.8,2.5794,62.3178,Turbine,San Francisco,0
67.28,28.81,1.1068,54.7812,Pump,San Francisco,0
60.57,55.67,3.5471,45.8097,Compressor,San Francisco,0
67.18,25.49,0.8392,65.9653,Pump,New York,0
64.28,10.3,1.1446,64.2646,Pump,New York,0
88.72,43.96,1.1872,44.7754,Turbine,Atlanta,0
66.76,37.94,0.78,61.9073,Turbine,New York,0
66.18,47.17,1.0679,63.474,Pump,San Francisco,0
78.66,39.74,0.6426,61.5655,Pump,Atlanta,0
81.59,31.79,1.9817,54.1278,Turbine,New York,0
92.73,41.47,1.7698,35.017,Turbine,Atlanta,0
63.59,63.08,3.0403,31.5648,Compressor,Houston,0
50.37,44.77,1.0126,53.6273,Pump,Atlanta,0
68.76,47.4,1.2738,57.7705,Turbine,New York,0
72.14,27.54,1.5866,53.8532,Turbine,Atlanta,0
75.57,50.77,2.698,55.662,Compressor,Chicago,0
44.49,29.9,0.7801,56.9535,Pump,Houston,0
54.44,33.72,0.5318,75.0035,Pump,Atlanta,0
42.12,38.57,0.8756,55.802,Pump,San Francisco,0
100.6,66.93,4.4397,32.2913,Compressor,San Francisco,1
81.64,38.91,1.9142,40.1378,Compressor,Houston,0
52.67,29.22,0.9593,47.0649,Pump,New York,0
65.25,33.47,2.3827,54.0498,Turbine,Atlanta,0
91.35,42.27,2.3277,45.3707,Turbine,Houston,0
53.2,32.37,0.9158,48.9602,Pump,New York,0
59.51,66.45,3.6905,40.0159,Compressor,New York,0
61.76,57.87,4.5496,45.8416,Compressor,Chicago,0
73.44,49.26,1.8039,60.3251,Turbine,New York,0
84.81,54.67,3.3411,59.4689,Pump,New York,1
60.14,53.11,2.708,40.3547,Compressor,San Francisco,0
84.51,49.4,2.4235,43.1611,Compressor,Chicago,0
47.83,53.9,2.4352,66.8802,Turbine,Houston,0
53.31,46.62,1.4659,50.6048,Pump,New York,0
90.12,64.31,3.2384,59.4914,Turbine,San Francisco,1
57.29,28.87,1.5737,65.6523,Pump,San Francisco,0
82.05,28.03,1.8853,56.6706,Turbine,Houston,0
88.14,44.05,1.545,50.8273,Turbine,Houston,0
73.86,46.49,2.0355,33.2387,Compressor,Houston,0
67.9,47.19,0.6054,55.6948,Compressor,San Francisco,0
39.63,50.7,0.9093,54.9544,Pump,San Francisco,0
71.48,58.04,2.6721,56.3334,Compressor,Chicago,0
71.9,43.98,2.1793,45.1259,Compressor,Atlanta,0
70.25,44.98,2.2256,59.5927,Turbine,New York,0
68.72,36.83,1.6569,46.917,Pump,Atlanta,0
51.48,41.62,1.3614,31.6216,Compressor,New York,0
77.28,20.07,0.8061,50.9645,Pump,Atlanta,0
76.85,17.7,1.0426,65.3716,Pump,Houston,0
73.41,39.86,2.1862,43.2221,Turbine,Atlanta,0
68.85,52.38,0.7028,44.0062,Turbine,San Francisco,0
75.16,38.12,0.9061,39.0088,Pump,New York,0
51.31,58.03,2.8484,60.4137,Compressor,Atlanta,0
72.75,34.08,1.2811,49.3067,Pump,Chicago,0
76.45,53.69,1.0175,56.8605,Turbine,San Francisco,0
81.11,69.11,1.3051,46.1641,Compressor,New York,0
73.66,48.45,2.1761,26.1612,Compressor,New York,0
82.12,38.56,1.564,45.1866,Turbine,Houston,0
46.81,63.72,0.2601,65.3214,Compressor,Houston,0
68.99,54.88,3.2242,52.0931,Pump,San Francisco,1
55.53,30.24,0.7554,49.4097,Pump,San Francisco,0
77.86,37.13,1.3127,41.8132,Turbine,Atlanta,0
99.64,48.03,2.6322,55.4167,Pump,Atlanta,1
76.14,47.58,1.2347,44.2418,Turbine,Atlanta,0
77.81,37.52,1.1201,47.1549,Pump,Chicago,0
58.72,25.44,0.5181,57.0346,Pump,San Francisco,0
81.9,42.23,1.5376,41.2499,Turbine,Houston,0
48.23,36.09,1.3509,71.7284,Turbine,Atlanta,0
74.79,54.86,0.5431,43.6413,Pump,Chicago,0
44.21,49.68,1.5063,32.4116,Compressor,Chicago,0
92.97,67.18,5.4361,44.2549,Compressor,San Francisco,1
47.54,89.25,1.6554,49.9457,Compressor,Atlanta,0
48.72,50.72,2.2078,35.9568,Compressor,New York,0
63.02,57.15,0.6163,57.4171,Compressor,Houston,0
78.98,76.4,4.8851,52.7164,Compressor,Houston,1
61.7,35.89,1.1464,70.8013,Pump,San Francisco,0
65.12,35.67,1.6972,45.7902,Turbine,San Francisco,0
68.2,17.93,0.8498,74.0702,Pump,Chicago,0
41.74,72.66,0.5113,54.9694,Compressor,San Francisco,0
62.36,42.71,0.5564,66.4375,Pump,Chicago,0
64.8,50.83,1.291,62.2077,Pump,Houston,0
74.79,43.34,2.0188,44.8998,Turbine,New York,0
60.55,60.06,0.6944,84.762,Pump,New York,0
103.3,74.99,3.859,65.6759,Turbine,Chicago,1
55.93,20.48,1.2441,39.9884,Pump,Chicago,0
82.31,58.4,4.5147,60.647,Compressor,Houston,1
72.5,28.6,0.8293,68.8683,Turbine,Houston,0
60.1,38.74,1.5279,60.9419,Turbine,Atlanta,0
52.03,41.61,1.1426,68.1884,Pump,Houston,0
57.7,41.28,1.381,46.8153,Pump,New York,0
88.09,58.13,2.9029,52.7718,Turbine,San Francisco,1
88.49,51.27,1.3656,38.9347,Turbine,Atlanta,0
49.4,23.82,0.5912,35.8875,Pump,Houston,0
70.86,31.05,0.5048,62.0094,Pump,Houston,0
39.22,22.59,0.6467,57.037,Pump,Chicago,0
81.71,64.22,3.5318,59.5151,Turbine,Houston,1
67.43,50.24,0.6887,53.4099,Turbine,New York,0
